"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Facto Delafe y las flores azules","Tegan","F","4","Levine","315.81995","paid","Portland-South Portland, ME","774","Enero en la playa","80"
"Kings Of Leon","Kate","F","0","Harrell","204.2771","paid","Lansing-East Lansing, MI","671","Manhattan","97"
"Franz Ferdinand","Kate","F","1","Harrell","204.12036","paid","Lansing-East Lansing, MI","671","Michael","97"
"Blue October","Tegan","F","5","Levine","272.32608","paid","Portland-South Portland, ME","774","Drilled A Wire Through My Cheek","80"
"Elisa","Kate","F","2","Harrell","248.97261","paid","Lansing-East Lansing, MI","671","Almeno Tu Nell'Universo","97"
"The Killers","Kate","F","3","Harrell","225.12281","paid","Lansing-East Lansing, MI","671","A Dustland Fairytale","97"
"FranÃÂ§oise Hardy","Kate","F","4","Harrell","210.12853","paid","Lansing-East Lansing, MI","671","Noir Sur Blanc","97"
"Air","Kate","F","5","Harrell","212.21832","paid","Lansing-East Lansing, MI","671","Playground Love","97"
"Ferry Corsten","Kate","F","6","Harrell","219.55873","paid","Lansing-East Lansing, MI","671","Punk (Radio Edit)","97"
"Beastie Boys","Kate","F","7","Harrell","211.722","paid","Lansing-East Lansing, MI","671","Unite (2009 Digital Remaster)","97"
"Henryk Gorecki","Kate","F","8","Harrell","1029.642","paid","Lansing-East Lansing, MI","671","Symphony No. 3: III. Lento - Cantablile Semplice","97"
"Jill Scott","Tegan","F","10","Levine","213.39383","paid","Portland-South Portland, ME","774","Gimme","80"
"Fleet Foxes","Kate","F","9","Harrell","253.04771","paid","Lansing-East Lansing, MI","671","Drops In The River","97"
"The Wallflowers","Tegan","F","11","Levine","389.95546","paid","Portland-South Portland, ME","774","Another One In The Dark","80"
"Orishas","Kate","F","10","Harrell","242.85995","paid","Lansing-East Lansing, MI","671","Atrevido","97"
"Coyote Shivers","Kate","F","11","Harrell","335.15057","paid","Lansing-East Lansing, MI","671","You're Mine","97"
"Adoniran Barbosa","Tegan","F","12","Levine","225.74975","paid","Portland-South Portland, ME","774","Fica Mais Um Pouco Amor","80"
"Traveling Wilburys","Tegan","F","13","Levine","207.59465","paid","Portland-South Portland, ME","774","End Of The Line","80"
"ISRAEL & NEW BREED","Kate","F","12","Harrell","191.76444","paid","Lansing-East Lansing, MI","671","Favor Of The Lord","97"
"Selena","Tegan","F","14","Levine","235.88526","paid","Portland-South Portland, ME","774","Ya No","80"
"Sunbeam","Kate","F","13","Harrell","383.21587","paid","Lansing-East Lansing, MI","671","One Minute In Heaven","97"
